Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2018 (#),Condo sales (%),1-year median price change (2017–2018) (%),5-year median price change (2014–2018) (%),Distressed property sales (%),Average year built for sold homes,Adjusted population,"Adjusted population density (people per square mile, excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Sexual offenses,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar/tram lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar/tram),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2019,PLEASANT VALLEY,"417,731","420,000",182,37,164,1%,12%,47%,1%,1992,"11,750","5,685",38,"62,760",71.6,54.5,10.3,4.1,1.9,29.3,16.3,9.9,"1,491",20.2,7.4,67.1,35.4,82.7,5.5,2.6,1.8,9.9,60,6,42,0,161,8,4,81,284,78,31,"1,057",37,26,5.4,1.7,0.3,2,0,2,2,6,1.4,22
2019,PORTLAND TOTAL**,"480,268","420,000",255,37,"9,427",17%,5%,35%,1%,1958,"630,331","4,344",37,"61,532",53.5,41.3,12.5,4.1,1.8,40.3,28.8,19.4,"1,299",16.2,6.6,80.6,25.5,79.7,3.2,4.6,1.1,8.9,"8,725",278,"4,326",26,"24,771",709,"1,071","7,014","36,111*","10,809*",74,"12,882",14,—,12.3,6.5,5.7,12.2,8,57,79,469,3.2,65
2019,PORTSMOUTH,"379,565","370,000",249,29,182,1%,3%,48%,2%,1965,"11,307","13,076",32,"49,943",54.9,34.3,11,4,3.8,47,22.8,8.6,"1,142",33,11.9,69.3,37.1,75.8,4.4,4,0.7,9,174,8,41,0,168,10,5,105,314,197,45,63,9,18,15.4,1,7.5,8.4,0,3,3,9,7.9,59
2019,POWELLHURST-GILBERT,"290,085","294,000",192,39,303,16%,7%,59%,7%,1976,"25,363","8,214",35,"41,319",49.9,41.7,11.3,5.1,2.8,39.1,11.6,4.3,"1,104",26.4,9.8,58.1,41.1,83,2.4,1.6,1.6,5.7,489,14,159,2,694,25,51,378,"1,231",581,71,131,6,21,12.6,2,0.7,2.8,1,5,6,15,4.4,52
2019,REED,"511,734","485,000",240,31,37,0%,-2%,36%,0%,1949,"2,827","7,948",30,"45,757",36.1,25,7.5,6.3,1.2,60,25.9,20.8,"1,215",16.2,6.2,84.4,15,61.7,7.2,13.9,2.1,23.2,29,0,18,0,92,2,2,39,149,33,64,0,0,14,13.5,15.1,6.1,21.2,0,3,3,1,1.9,62
2019,RICHMOND,"567,630","553,250",257,28,194,6%,2%,33%,0%,1936,"13,046","10,714",36,"75,788",56.4,43.1,10.2,2.4,1.3,43,35.7,25.9,"1,425",10.7,4.7,90.3,23.9,81.7,2.4,4.5,0.9,7.8,74,2,60,0,351,3,8,119,530,87,47,4,1,16,12.7,4.7,12.2,16.9,0,6,6,4,3.4,87
2019,ROSE CITY PARK,"524,570","502,350",236,25,166,5%,-9%,20%,0%,1933,"10,187","9,006",41,"80,303",68,47.3,14.2,3.3,0.8,34.4,33.7,24.6,"1,453",8.3,5.1,89.1,29.1,85.2,0.9,3.3,0.3,4.5,59,4,51,0,207,3,8,90,348,74,41,25,3,14,12.3,3.1,6,9.1,3,4,7,5,4.4,71
2019,ROSEWAY,"428,144","407,500",236,24,126,0%,-3%,40%,1%,1943,"5,577","6,913",41,"64,622",66.2,48.6,14.3,2.8,1.8,32.6,29.1,20.3,"1,347",7.7,5,85.5,23.5,83.1,1.7,2,0.8,4.5,43,0,50,0,149,1,13,83,282,57,61,4,1,17,10.1,0.9,5.1,6.1,0,5,5,2,1.9,76
2019,RUSSELL,"363,033","360,000",205,28,57,0%,4%,60%,2%,1962,"3,829","5,378",48,"53,641",77.4,52.6,13.2,11.4,1.1,21.7,13.8,8.7,"1,146",12.3,8.8,80.6,21.5,84.3,2.4,2.2,0.7,5.3,24,1,31,0,152,0,7,56,239,32,71,15,3,19,5.4,1.3,2.9,4.2,0,2,2,5,5.7,37
2019,SABIN,"691,184","623,000",269,37,69,3%,-9%,34%,1%,1934,"4,635","10,073",37,"88,913",66.5,42.2,10.8,2.1,1.1,43.8,36.7,31.7,"1,668",11.1,3.5,92.2,29.2,82.5,1.9,4.9,0.4,7.2,14,0,19,0,76,0,0,10,105,14,26,2,1,16,11.7,5.6,13.9,19.5,0,2,2,1,2.7,83
2019,SELLWOOD-MORELAND,"553,378","520,000",273,40,218,14%,4%,28%,1%,1946,"8,811","6,432",40,"72,946",54.4,52.6,14.2,3.5,1.7,28,32.5,26.6,"1,282",9.8,6.1,92.5,26.7,83.5,4.9,4.8,0.7,10.4,80,1,78,0,352,5,8,76,506,94,68,312,23,15,7.4,4.5,8.9,13.4,0,6,6,9,4.3,81
2019,SOUTH BURLINGAME,"508,616","490,000",238,35,33,3%,0%,23%,0%,1964,"2,031","6,023",39,"96,649",77.1,54,13.1,3.1,0.3,29.4,41.4,26.3,"1,565",7.7,7,90.5,28.9,77.6,3.2,2.3,6.3,11.8,5,0,2,0,27,0,0,4,33,5,19,13,5,11,8.1,1.7,5.4,7.1,0,8,8,2,4.7,55
2019,SOUTH PORTLAND,"572,852","474,480",330,51,195,53%,0%,34%,2%,1978,"10,121","8,190",38,"83,332",40.4,39.9,12.5,5.1,0.8,41.8,37.6,34.3,"1,613",12.1,5.2,81.4,10.3,68.1,6.8,8.2,2.1,17.1,90,2,55,0,306,3,4,53,414,99,51,69,6,11,16.9,12.3,4.8,17.2,5,22,27,11,6.5,56
2019,SOUTH TABOR,"460,105","453,050",246,28,92,10%,4%,48%,0%,1951,"6,825","9,500",37,"60,149",58,43.4,13.3,2.5,1.3,39.7,27.8,17.9,"1,390",13,8.4,82.7,23.2,80.9,2.2,5.2,0.9,8.3,52,2,72,0,216,16,9,89,377,79,67,12,2,19,12.9,1.6,9.2,10.8,0,4,4,4,4.6,68
2019,SOUTHWEST HILLS,"940,888","790,350",293,65,112,16%,-5%,23%,1%,1949,"7,115","4,308",44,"125,023",71.5,61.1,6.8,4.3,0.8,26.9,36.8,44.4,"2,036",10,5.1,87.8,46.6,83,2.7,5,0.7,8.4,9,2,22,0,77,3,2,12,111,16,18,168,14,11,6.6,12.2,1.5,13.7,2,5,7,2,0.8,34
2019,ST. JOHNS,"366,778","360,000",242,30,201,6%,4%,59%,4%,1958,"13,638","10,263",38,"61,909",63.7,46.1,11.2,2.5,3.1,37,21.6,9.7,"1,300",12.5,5.6,74.7,26.9,83,1.7,2.2,0.3,4.2,241,11,98,1,453,14,18,187,738,285,75,"2,180",31,20,10.2,1.4,1.4,2.9,0,5,5,21,1.9,65
2019,SULLIVAN’S GULCH,"448,846","430,000",273,44,39,59%,53%,65%,3%,1951,"3,406","11,969",37,"60,765",31.6,39.5,11.4,1.9,1.5,45.8,39.9,28.6,"1,288",12.6,4.7,90.3,12.5,75.9,1,5.5,1.3,7.8,58,1,33,0,218,5,9,68,319,73,115,5,2,13,13,8.3,12,20.3,3,4,7,3,9.2,87
2019,SUMNER,"322,338","325,000",226,17,37,0%,8%,76%,0%,1939,"2,312","6,977",37,"46,119",58.8,34.5,17.6,2,2.4,43.4,11.8,4.3,"1,067",20.8,5.6,66.5,33.4,70.2,12.7,4.6,0.6,17.8,36,4,23,0,83,3,8,40,146,51,85,16,3,19,8.3,14.3,0.7,15,1,5,6,3,3.6,64
2019,SUNDERLAND,—,—,71,—,1,0%,—,—,0%,—,327,"2,602",38,"50,510",53.5,30.4,19,1.4,3.2,45.9,11.7,4.2,"1,027",21.6,5.7,72.7,32.3,60.9,17.3,4.8,0.9,22.9,20,1,7,0,62,0,3,15,84,24,330,57,5,17,9,19.2,0.2,19.4,0,3,3,4,2.1,15
2019,SUNNYSIDE,"498,047","470,000",264,32,101,24%,-13%,19%,0%,1931,"7,838","13,241",36,"71,267",42.9,36.2,10.2,3,0.5,50.2,39.6,25.5,"1,299",11.3,3.7,89.8,20.1,75.4,2.8,6.2,0.6,9.6,67,0,61,0,296,3,10,108,465,80,70,2,0,13,13.9,3.8,16.9,20.7,0,4,4,2,3.5,91
2019,SYLVAN-HIGHLANDS,"713,346","650,000",256,44,31,10%,3%,36%,3%,1964,"1,231","2,169",46,"163,976",88.6,67.7,7.4,3.9,0.4,20.5,39.1,38.8,"2,575",3.6,1.1,91.3,30.2,89.7,2.1,2.4,0.2,4.7,4,0,8,0,26,1,0,8,42,5,38,70,15,14,2.8,4.9,1.1,6,2,3,5,2,2.5,19
2019,UNIVERSITY PARK,"467,199","462,250",232,38,80,0%,-2%,45%,0%,1947,"6,623","9,159",24,"67,531",63.4,28.4,7.6,2.5,0.4,61.1,24.9,24.5,"1,560",21.4,9.5,90.6,24.8,67.8,4.2,12.6,1.8,18.6,30,0,23,0,119,1,4,38,180,35,32,26,3,17,5.8,16,6.8,22.8,0,3,3,5,3.5,48
2019,VERNON,"543,462","539,250",270,36,36,14%,-2%,44%,0%,1952,"2,769","10,006",36,"83,803",67.9,38.7,10.7,1.7,1,47.7,37.2,25.5,"1,592",12.5,5.1,93.4,27.6,83.6,1.3,5.5,1,7.7,15,0,15,0,70,1,3,19,104,19,44,17,9,16,11.1,3.8,13.5,17.3,0,2,2,1,1.7,88
2019,WEST PORTLAND PARK,"410,590","442,000",231,50,59,15%,12%,48%,2%,1949,"3,889","6,563",36,"61,207",55.6,49,17.3,4.4,1.8,27.6,31.8,19.1,"1,422",17,3.3,79,29.8,81,5.1,4.3,3.8,13.1,37,1,13,0,65,4,4,15,93,46,36,39,8,14,10.1,1.6,0.9,2.4,0,7,7,2,2.9,62
2019,WILKES,"326,941","330,000",190,36,192,18%,2%,38%,3%,1978,"9,522","6,724",43,"56,184",70,51.3,14,5.8,1.9,27,14.5,8.4,"1,153",14.8,6.8,75.5,30.2,88,2.1,2.2,0.3,4.6,76,3,58,1,195,4,2,89,342,86,45,200,10,23,6.1,1.6,0.7,2.4,0,6,6,12,3.8,28
2019,WOODLAND PARK,"319,714","330,000",182,31,7,0%,15%,81%,0%,1945,289,"6,163",39,"51,965",49.9,36.8,13.7,6.1,0.3,43.1,15.9,7.8,"1,138",16.9,3.7,75.6,23.3,78.5,4.6,2.9,1.5,9,5,0,1,0,19,1,2,1,21,8,100,0,0,15,7.8,2.4,1.2,3.5,0,5,5,0,6.1,64
2019,WOODLAWN,"470,642","439,000",254,40,111,13%,0%,42%,1%,1956,"5,810","9,618",35,"78,385",69.5,35.8,11.3,1.8,1.9,49.1,34.1,20.8,"1,476",13.5,7.3,91.6,25.4,81.8,1.3,4.6,1.9,7.8,43,2,51,0,119,0,2,31,201,47,43,8,2,15,11.2,3.2,13.7,16.9,0,4,4,3,4.3,72
